,mean,max,var,0.25,0.5,0.75,max_day_1,max_day_2,max_day_3,max_day_4,max_day_5,max_day_6,max_day_7,mean_day_1,mean_day_2,mean_day_3,mean_day_4,mean_day_5,mean_day_6,mean_day_7,var_day_1,var_day_2,var_day_3,var_day_4,var_day_5,var_day_6,var_day_7,mean_day_var,hjorth_mobility,hjorth_complexity,dfa,pfd,permutation_entropy_n_3,permutation_entropy_n_4,above_0.7*max,above_0.8*max,above_0.9*max,above_0.7*mean,above_0.8*mean,above_0.9*mean,above_mean,hfd,abs_energy,augmented_dickey_fuller,cid_ce,autocorrelation,fft_centroid,fft_variance,fft_skew,fft_kurtosis,kurtosis,skewness,mean_change,mean_2_deriv_central,interdaily_stability,intradaily_variability
s0209110,32.103134920634915,503.85,2247.832674961455,0.0,12.03,45.692499999999995,503.85,463.15,233.81,385.04,339.93,289.22,306.8,35.81171527777778,40.2665625,24.478166666666667,38.29232638888889,23.349576388888888,28.168604166666668,34.35499305555556,3391.5928036575824,2443.9902691343827,1144.5199238082002,2230.026207579287,1601.0555708419724,1811.0225393289625,2847.7859320360903,45.669589049348275,0.00581125077399969,274.10519791903914,0.9658123297185228,1.0186949717395917,2.433536540305429,4.217143769209633,9.0,5.0,3.0,3972.0,3733.0,3493.0,3267.0,0.8702940622964098,33044467.149999995,2.252659431469716e-25,3353.883117164342,0.16059643406247973,1728.298979444836,2277680.010684092,0.6368879019706422,7.313880972202266,9.03787884257951,2.4645900681885555,-0.0008254787181267983,0.00013643580075411787,0.3850995211622017,0.4964944768259294
s0310211,32.91030853174603,652.34,3116.790385488686,0.0,10.645,46.152499999999996,524.69,321.02,511.41,586.75,246.13,260.26,652.34,28.255993055555553,57.298548611111116,37.22103472222222,30.606631944444448,16.904868055555553,16.409256944444447,43.67582638888889,1715.2936031827169,2247.1082927495445,4292.669933535973,4473.04944945444,701.9813277101667,765.9804470499856,6348.859132047669,214.11556598082018,0.005470055993698828,295.6702205358571,1.0094456394679632,1.019075437187059,2.4454429031563696,4.237245923466639,15.0,5.0,1.0,3787.0,3580.0,3362.0,3169.0,0.829178646821816,42331661.4445,1.0401095687070084e-22,3573.178359556097,0.15265331737587917,1695.2618119726424,2350126.3498272565,0.6102645423076547,6.5610100008441625,19.583738086456062,3.662356975143847,0.00273638257763667,0.0012948997817027188,0.5162434938569462,0.4064286825439751
s0310411,35.88429563492063,250.16,1627.6440286733812,0.48,19.295,63.61,198.3,230.34,202.5,216.79,198.64,250.16,215.98,28.258784722222224,44.237854166666665,33.221986111111114,30.023652777777777,40.780854166666664,33.995263888888886,40.67167361111111,1536.5214493212393,1854.3609433421627,1875.9954826405308,1463.922314236544,1546.3666000343103,1449.3297429462968,1453.816368218624,36.63818296696335,0.004532570334867845,352.7413544057198,1.0164223528277143,1.019956825761273,2.477710776318845,4.309998906083504,39.0,13.0,3.0,4572.0,4287.0,4036.0,3844.0,0.8489658268671502,29384865.511,3.406232276645491e-21,2466.670476107419,0.2662763992914572,1672.1680251795601,2299202.9413013174,0.6530232146565959,6.586117250834623,0.68506655184044,1.1358003039876161,0.004088699275721797,3.9690414764831685e-06,0.5108535246488977,0.37089023316902675
s0310703,32.294832341269846,599.57,3006.353328853721,0.0,6.62,46.0425,472.3,277.23,599.57,286.0,208.14,340.91,583.87,25.316430555555552,36.013423611111115,57.715243055555554,25.00382638888889,21.594270833333333,32.543506944444445,27.877125,1662.143943330822,2103.654751370115,8759.115893200084,1947.0711913944385,1258.4848111427202,2035.4099129881351,2394.5432924930506,149.32700916535538,0.00561465572001184,283.44874547517054,0.9853280321410293,1.0171973105766587,2.3633722587687265,4.055430679853446,26.0,11.0,5.0,3631.0,3423.0,3245.0,3091.0,0.8273504545386847,40814033.65670001,5.768722144724929e-26,3601.290509289691,0.20661233844100033,1688.3811479674357,2258009.4316586107,0.6016829149342172,6.8782266108843215,17.22201957577285,3.292483581130315,0.0008165492608393691,0.0004083151418932328,0.4419840858541639,0.4280148597580207
s0310706,27.8233373015873,378.21,1319.7474470020018,0.0,12.555,44.9825,378.21,215.48,222.24,377.79,223.35,178.1,181.53,24.682583333333334,22.53065972222222,35.936701388888885,34.712631944444446,27.345576388888887,21.335375,28.21983333333333,1223.772703954137,1177.3041166596688,1452.2469508211234,1771.2384959867472,1127.8616163457916,1045.089857121265,1252.4416397220311,32.2741580595238,0.0055005722357460264,293.1675480353848,0.9976708351728831,1.017338259931368,2.3687804918655866,4.064085138137751,5.0,3.0,2.0,4382.0,4126.0,3913.0,3667.0,0.8677582038216206,21105046.552199997,9.405711121013878e-24,2536.0225735194076,0.2275776636958737,1751.4959720936288,2314157.318738387,0.5758804074231849,7.320214737861307,4.522321079277558,1.754088012009303,-0.006095842841551741,0.0020003969041476484,0.4201660801989297,0.48350164292753545
s0310710,40.76028273809524,362.7,2203.2878021524157,0.0,24.53,66.72,252.32,245.56,267.13,283.25,234.19,362.7,236.26,45.96866666666667,45.86536805555556,35.561298611111106,36.50499305555556,38.491819444444445,53.73865277777778,29.191180555555558,2574.272910382212,2072.616048787303,1784.23206189826,2127.6595585823025,1985.738431572658,2810.8514329300806,1670.7947214684182,67.62570423208776,0.004799073204805467,334.4299792037206,1.0224709812814803,1.018864609731653,2.4352238919419142,4.212362344293874,7.0,3.0,2.0,4726.0,4433.0,4130.0,3880.0,0.8550941980344257,38953856.29869999,9.543785274928372e-24,3006.2754291315364,0.28370331530441323,1688.6498888888798,2315370.4187106816,0.6324225664711024,6.665622049890654,1.6022774692989827,1.3218730785172048,-0.004631411846413335,-0.0023084937487596745,0.4888450399864972,0.40697605650681173
s0311303,30.39535416666667,431.72,1726.9076905779966,0.0,14.24,43.2075,431.72,234.37,392.07,197.19,252.3,293.94,269.85,38.871625,25.454708333333333,32.34396527777778,18.735243055555557,35.813138888888886,33.11044444444445,28.43835416666667,2163.1177074339826,1372.1680149252945,1939.5976931607113,875.8008538672213,2274.9011891676328,1708.2162288502816,1484.994021820271,46.094396731513626,0.005668185295174359,279.31673422301395,0.9709011871990217,1.0183664391643754,2.4158309608600015,4.170766511987248,3.0,2.0,2.0,4258.0,3963.0,3693.0,3426.0,0.8755671650541981,26718188.366900004,1.277334173121507e-24,2941.560660601783,0.19351441291408492,1729.3275969501078,2242691.8715359634,0.6200162411904325,7.4675106020124895,5.434441781902434,2.051455860389529,0.0,-0.00025004961301845606,0.37991665552478754,0.49712894319813966
s0320307,41.78765277777777,492.94,3456.7536089358787,0.09,16.44,61.0675,424.67,482.46,481.79,401.99,492.94,438.09,309.26,47.06293055555555,37.87721527777778,36.21796527777778,44.90936111111111,36.354256944444444,53.201284722222226,36.89055555555556,3287.786983066754,2757.7542879313883,3270.8669203184622,4583.612365401121,4019.2607348192705,3733.198185909145,2291.362024986488,44.61015074816745,0.0048758057165054994,325.8354944799942,0.935990867778403,1.0191318566779803,2.448381273287632,4.234207499358311,33.0,15.0,8.0,3986.0,3730.0,3513.0,3292.0,0.828787810868952,52442395.5052,7.023875248350137e-29,3545.0137068141216,0.19877015157141711,1611.5484650805015,2270293.8445839207,0.7286741357984529,6.171746398906068,7.126857217944632,2.2609088879576644,0.010567516618712174,0.002676126215518952,0.42078854191500636,0.36070317683659964
s0408108,55.61731845238096,1023.14,7945.662782202378,0.0,20.884999999999998,76.7225,957.16,715.03,564.85,1023.14,499.06,617.1,801.11,55.65064583333333,51.27984027777778,56.676680555555556,60.32022222222222,47.85406944444445,37.4876875,80.05208333333333,6764.233325850832,5618.830955568629,6987.795934491352,10402.502358949898,4301.758494060494,5887.141468380383,14661.728776059777,171.34394466328163,0.005168051935157146,310.5036879852195,0.9330154043692073,1.0186270607511558,2.4291856727294303,4.197315126288048,6.0,3.0,3.0,3970.0,3747.0,3506.0,3270.0,0.7961189648225299,111264659.18909998,1.414757356408819e-23,5473.115950407044,0.16004460676780202,1662.6959816337492,2309269.964813024,0.6524648890634686,6.441148927767083,13.523276412270828,3.111801301379248,0.0002539934517313226,0.0004926572732685056,0.4924238133494468,0.37404316510329155
s0410108,32.33860714285714,513.36,1863.1957333707992,0.05,14.045,49.7475,235.16,513.36,230.89,251.5,184.46,219.68,361.36,35.52875,27.024333333333335,30.200506944444445,25.270305555555556,37.55439583333334,33.18309027777778,37.608868055555554,1765.7185343641443,2272.2011327032624,1860.8704124599928,1399.9056899691136,1733.9017440405667,1517.5541862044918,2351.239716646929,24.77402181264239,0.005400090314520605,293.8769372456683,0.9306089297656991,1.0190942461293293,2.458329671876757,4.2585620581548245,6.0,4.0,2.0,4203.0,3929.0,3690.0,3434.0,0.8662396358529594,29320667.757,2.1103883456631465e-30,2935.744242079,0.15828212352011503,1683.597076873659,2248994.112037023,0.6628388809314024,6.931602034502358,7.198891008273538,2.041412577086297,0.0006677249727155472,-0.0009089104981147053,0.36918727371903165,0.4589448589648125
